Grade;Cod;Descricao;UN;Inicial;Ent.;Ent.MCDD;Reserva;Trans.;Saidas;Sai.MCDD;Disp.;Res.Magali;Inic.Agend.;Ent.Agend.;Sai.Agend.;Disp.Agend.
01;023256;PIRCRLEI TETRAP;cx  ;0000165;0000000;0000000;0000000;000000; 000000; 000000; 0000165; 0000000;0000000;0000000;0000000; 0000000
01;023269;SKBGT LN269SPSH;cx  ;0000096;0000000;0000000;0000000;000000; 000000; 000000; 0000096; 0000000;0000000;0000000;0000000; 0000000
01;023271;SKBTSEN LN269SP;cx  ;0000028;0000000;0000000;0000000;000000; 000000; 000000; 0000028; 0000000;0000000;0000000;0000000; 0000000
01;023463;AMSGAMA GFP500C;cx  ;0000206;0000000;0000000;0000000;000000; 000000; 000000; 0000206; 0000000;0000000;0000000;0000000; 0000000
01;023562;DANTRCABSAUV GF;cx  ;0000012;0000000;0000000;0000000;000000; 000000; 000000; 0000012; 0000000;0000000;0000000;0000000; 0000000
01;023564;DANTRMAL GFA750;cx  ;0000010;0000000;0000000;0000000;000000; 000000; 000000; 0000010; 0000000;0000000;0000000;0000000; 0000000
01;023594;PIRAKBEBLCH TET;cx  ;0000115;0000000;0000000;0000000;000000; 000000; 000000; 0000115; 0000000;0000000;0000000;0000000; 0000000
01;023651;PARTRA GFVD900M;un  ;0000111;0000000;0000000;0000000;000000; 000000; 000000; 0000111; 0000000;0000000;0000000;0000000; 0000000
01;024042;PUVAGMSG GFPET1;cx  ;0000156;0000000;0000000;0000000;000000; 000000; 000000; 0000156; 0000000;0000000;0000000;0000000; 0000000
01;024044;PUVAGMCG GFPT51;cx  ;0001511;0000000;0000000;0000000;000000; 000000; 000000; 0001511; 0000000;0000000;0000000;0000000; 0000000
